title,description,url,category
"Kevin Spacey Tells Guy Pearce to ‘Grow Up,’ Denies Claim He ‘Targeted’ Actor - Rolling Stone",Kevin Spacey told Guy Pearce to 'grow up' after the latter said his 'L.A. Confidential' co-star 'targeted' him while making the 1997 movie.,http://www.rollingstone.com/tv-movies/tv-movie-news/kevin-spacey-dismisses-guy-pearce-claim-targeted-1235271640/,entertainment
Michael Vlamis & Iddo Goldberg Latest To Join Christopher Nolan’s ‘The Odyssey’ At Universal - Deadline,Universal's 'The Odyssey' has tapped Michael Vlamis & Iddo Goldberg for undisclosed roles.,http://deadline.com/2025/02/the-odyssey-movie-adds-michael-vlamis-iddo-goldberg-1236293990/,entertainment
'Bad Flu' Kept Dana Carvey Away From SNL's 50th - LateNighter,"We're now learning why one of Sunday night's SNL anniversary special's more conspicuous no-shows wasn't there. Dana Carvey was reportedly sidelined by ""a bad flu.""",https://latenighter.com/news/a-bad-flu-kept-dana-carvey-away-from-snls-50th/,entertainment
"MAGA Outrage Over Tom Hanks’ ‘SNL50’ Sketch Is Understandable, Says Joy Behar: They Made ‘Anyone Who Voted for Trump Look Like a Racist’ - AOL",,https://www.aol.com/maga-outrage-over-tom-hanks-203727408.html,entertainment
"John Malkovich Rejected Marvel Offers Because of Bad Deals: ‘If You’re Going to Hang From a Crane in Front of Green Screen for Six Months, Pay Me’ - Variety","Before John Malkovich said yes to ""The Fantastic Four: First Steps,"" he rejected a few Marvel roles because the pay wasn't good enough.",https://variety.com/2025/film/news/john-malkovich-marvel-movies-bad-pay-fantastic-four-1236311544/,entertainment
TV Ratings: ‘White Lotus’ Sets New Premiere High With Season 3 Debut - Hollywood Reporter,"The show draws 2.4 million viewers for its opening night, up substantially from the previous edition.",http://www.hollywoodreporter.com/tv/tv-news/white-lotus-season-3-premiere-ratings-1236140012/,entertainment
Nike Stock Climbs After It Announces Partnership with Kim Kardashian's SKIMS - Investopedia,Nike is joining forces with reality TV star Kim Kardashian's shapeware and clothing brand in an effort to get more women to purchase Nike products.,https://www.investopedia.com/nike-stock-climbs-after-it-announces-partnership-with-kim-kardashian-s-skims-11681436,entertainment
A Universe in Ruins - The Ringer,"After a few wobbly years post-‘Endgame,’ ‘Captain America: Brave New World’ was meant to put the MCU back on track. Now the Red Hulk has come and gone, and things somehow feel even more dire.",https://www.theringer.com/2025/02/18/movies/captain-america-brave-new-world-review-mcu-future,entertainment
YouTuber Lee Jin Ho takes down all videos related to Kim Sae Ron after Kim Sae Ron's father stated the late actress was extremely stressed watching his videos - allkpop,All videos related to the late Kim&nbsp;Sae Ron have been made private on YouTube reporter&nbsp;Lee Jin Ho's&nbsp;channel.As of Februar…,https://www.allkpop.com/article/2025/02/youtuber-lee-jin-ho-takes-down-all-videos-related-to-the-late-kim-sae-ron-after-kim-sae-rons-father-stated-the-late-actress-was-extremely-stressed-watching-his-videos,entertainment
Meghan Markle’s Jam Business Has a New Name - The Cut,Meghan Markle has revamped her lifestyle brand-slash-jam company with a name that is both easier to say and less likely to get her into a patent dispute.,http://www.thecut.com/article/meghan-markle-new-as-ever-lifestyle-brand.html,entertainment
